Date,Open,High,Low,Close,Adj Close,Volume
2016-09-14,378.666992,385.333008,377.867004,383.733002,321.626495,180261
2016-09-15,386.632996,386.666992,377.066986,379.266998,317.883301,115328
2016-09-16,381.200012,387.433014,379.333008,384.433014,322.213196,284967
2016-09-19,386.399994,392.666992,386.333008,391.200012,327.884949,212514
2016-09-20,390.666992,393.066986,388.532990,390.399994,327.214417,98457
2016-09-21,393.333008,396.632996,386.700012,391.032990,327.744995,139390
2016-09-22,390.666992,399.733002,390.666992,398.500000,334.003479,204802
2016-09-23,399.566986,405.333008,399.566986,401.467010,336.490295,247382
2016-09-26,402.666992,416.666992,397.000000,414.000000,346.994812,433947
2016-09-27,418.233002,420.000000,405.500000,406.700012,340.876312,296250
2016-09-28,406.666992,412.933014,406.433014,411.066986,344.536530,156232
2016-09-29,409.933014,415.333008,400.000000,406.367004,340.597229,297760
2016-09-30,405.532990,412.600006,403.333008,408.467010,342.357300,127742
2016-10-03,413.333008,420.000000,410.367004,418.566986,350.822662,183650
2016-10-04,418.566986,426.566986,418.566986,425.100006,356.298279,221146
2016-10-05,424.333008,434.233002,418.566986,432.032990,362.109192,208803
2016-10-06,432.733002,455.532990,432.733002,448.200012,375.659637,460590
2016-10-07,450.000000,453.200012,437.600006,442.000000,370.463074,208564
2016-10-10,442.666992,444.666992,435.666992,438.467010,367.501923,100090
2016-10-13,438.467010,446.799988,428.000000,437.899994,367.026611,116444
2016-10-14,443.333008,448.000000,437.967010,445.100006,373.061371,124446
2016-10-17,450.000000,450.000000,436.467010,438.766998,367.753326,280912
2016-10-18,440.000000,463.166992,430.700012,437.500000,366.691406,127728
2016-10-19,440.000000,446.233002,437.200012,440.200012,368.954407,119934
2016-10-20,441.333008,443.666992,436.399994,441.532990,370.071686,103582
2016-10-21,442.000000,447.100006,441.233002,445.200012,373.145172,94872
2016-10-24,440.666992,458.333008,440.666992,457.367004,383.342926,218188
2016-10-25,458.000000,458.333008,449.000000,456.799988,382.867706,123004
2016-10-26,457.299988,457.600006,447.333008,450.799988,377.838806,76084
2016-10-27,450.799988,453.333008,443.566986,450.766998,377.811127,120033
2016-10-28,437.367004,451.899994,437.367004,445.600006,373.480438,140100
2016-11-01,447.333008,453.266998,445.632996,450.700012,377.755005,88482
2016-11-02,450.666992,450.666992,436.666992,439.967010,368.759125,86054
2016-11-03,442.333008,443.132996,427.333008,430.032990,360.432892,133184
2016-11-04,426.666992,432.666992,421.399994,428.766998,359.371826,192518
